Tue Apr 28 21:11:57 +0000 2020, --> ,RTs: 4, --> ,When @NIH confirmed to me that U.S. taxpayer $$ went to a Chinese virology lab at the center of the #CoronavirusOutbreak I called on the administration to halt these transfers. I’m glad they listened and will stop this spending. https://t.co/XQGs7cAfm1 
Tue Apr 28 21:11:52 +0000 2020, --> ,RTs: 1, --> ,@telesurenglish Geng Shuang must think Americans are as mindless as his Chinese Puppets!  Virus started Wuhan!  China lied @ it being CONTAGIOUS.  Stopped NATIONAL flights into &amp; out of Wuhan.  Allowed INTERNATIONAL flights with contagious CHINESE.  Planned &amp; DELIBERATE attack on WORLD!  GUILTY! 
Tue Apr 28 21:11:48 +0000 2020, --> ,RTs: 2, --> ,A clear mindset of a left leaning anti-India brigade who can ditch its own people just to woo minorities. Feel sad for those nurses who got infected with the Chinese virus while trying to treat the patients &amp; their own state rejected them! https://t.co/Q9ENb92XPf 
Tue Apr 28 21:11:47 +0000 2020, --> ,RTs: 0, --> ,YouTube and Twitter Censor Pharma Company Researching UV Light Treatment for Chinese Virus https://t.co/WvkQ0nor01 via @BreitbartNews 
Tue Apr 28 21:07:57 +0000 2020, --> ,RTs: 0, --> ,#coronavirus vaccine could be ready by September  University of Oxford in the #UK edges ahead of #Chinese consortiums in the race to find a coronavirus  cure👍  UK human trials will be expanded to 6.000 test cases by May's end from 1112 during phase one.  https://t.co/gI6Z7mU7DY 
Tue Apr 28 21:11:41 +0000 2020, --> ,RTs: 12, --> ,Well done to the Australian government for pushing for an inquiry into the origins of the Coronavirus virus in Wuhan and how the Chinese Communist Party handled the outbreak. Chinese sanctions of Australian goods  don’t scare Australia. 
Tue Apr 28 21:11:41 +0000 2020, --> ,RTs: 0, --> ,Chinese scientists say the novel coronavirus will not be eradicated adding to a growing consensus around the world that the pathogen will likely return in waves like the flu.https://t.co/PWOwUnvsyZ 
Tue Apr 28 21:11:40 +0000 2020, --> ,RTs: 1, --> ,ATTENTION: A picture is emerging—across 10 major-media investigative reports—of the COVID-19 outbreak in the U.S. as a bribery scandal in which Trump looked the other way on intel about the virus in November in order to placate Chinese lenders and get political dirt on Joe Biden. 
Tue Apr 28 21:09:48 +0000 2020, --> ,RTs: 1, --> ,I'm just a simple man with a simple question.  Dr. Birx Dr. Fauci what does victory over the Wuhan Chinese Virus look like? 
Tue Apr 28 21:11:12 +0000 2020, --> ,RTs: 0, --> ,The coronavirus is likely to keep coming back each year say top Chinese scientists https://t.co/OpwxfX6ZZm via @business 
Tue Apr 28 21:11:10 +0000 2020, --> ,RTs: 5, --> ,“Beijing is…forcibly disappearing those independently reporting on the pandemic.”  @HRW is calling on #Chinese authorities to free 3 activists and 2 citizen journalists who were detained for disseminating info about the #CCPVirus outbreak in #China. https://t.co/Ad34vOdzDB 
Tue Apr 28 21:10:47 +0000 2020, --> ,RTs: 0, --> ,COVID-19 will not be eradicated and will return to become a seasonal virus a group of Chinese viral and medical researchers told reporters in Beijing on Monday. It will likely not disappear like SARS did because it can infect asymptomatic carriers. 
Tue Apr 28 21:10:44 +0000 2020, --> ,RTs: 0, --> ,So all of this covid19 chinese virus crap has left me with time to research. Evidence is kinda pointing to a dry run for a future bio-attack by the chi-coms. Do your own research and see what you come up with. 
Tue Apr 28 21:10:39 +0000 2020, --> ,RTs: 0, --> ,When you call Corona the Chinese Virus.   Pakistanis - https://t.co/FP4ANLBpnN 
Tue Apr 28 21:10:21 +0000 2020, --> ,RTs: 0, --> ,WATCH on #Verdict with @tedcruz: The Chinese government needs to answer this question right now: Were they studying the novel #Coronavirus -- the virus that has killed over 140000 people worldwide? https://t.co/e0NqnOVdIk 
Tue Apr 28 21:10:20 +0000 2020, --> ,RTs: 0, --> ,A reminder to the  Government should they need it that throughout the whole of the Brexit debacle and now the tragedy of Chinese Virus. With a few minor exceptions the opposition parties and the media have presented a united front in opposition to everything the Government does. 
